Welcome.started,Welcome.stopped,welcomeKey.keys,welcomeKey.rt,welcomeKey.duration,workerId,mturkLink,date,expName,psychopyVersion,OS,frameRate,Globals.started,Globals.stopped,SessionIntro.started,SessionIntro.stopped,sessKey.keys,sessKey.rt,sessKey.duration,TrialIntro.started,TrialIntro.stopped,trialKey.keys,trialKey.rt,trialKey.duration,Frame.started,Frame.stopped,resp.keys,frames.thisRepN,frames.thisTrialN,frames.thisN,frames.thisIndex,frames.ran,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,session,stim1,stim2,stim3,stim4,stim5,stim6,act2,act3,act4,act5,act6,resp.rt,resp.duration,ITI.started,ITI.stopped,itiKey.keys,itiKey.rt,itiKey.duration,Thanks.started,Thanks.stopped,thanksKey.keys,thanksKey.rt,thanksKey.duration
0.0029,10.8562,return,10.8306,,,,2025-11-09_12h09.46.160,interdms_position_identity_trials,2025.1.1,MacIntel,62.11180124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2025-11-09_12h09.46.160,interdms_position_identity_trials,2025.1.1,MacIntel,62.11180124,10.8564,10.8565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2025-11-09_12h09.46.160,interdms_position_identity_trials,2025.1.1,MacIntel,62.11180124,,,10.8614,22.5055,return,11.6196,,22.5057,24.0471,return,1.5293,0.0003,24.0502,26.5398,,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2025-11-09_12h09.46.160,interdms_position_identity_trials,2025.1.1,MacIntel,62.11180124,,,,,,,,,,,,,26.5409,29.0383,,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2025-11-09_12h09.46.160,interdms_position_identity_trials,2025.1.1,MacIntel,62.11180124,,,,,,,,,,,,,29.0389,31.5396,,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2025-11-09_12h09.46.160,interdms_position_identity_trials,2025.1.1,MacIntel,62.11180124,,,,,,,,,,,,,31.5406,34.0395,,3,0,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2025-11-09_12h09.46.160,interdms_position_identity_trials,2025.1.1,MacIntel,62.11180124,,,,,,,,,,,,,34.0402,36.5395,,4,0,4,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2025-11-09_12h09.46.160,interdms_position_identity_trials,2025.1.1,MacIntel,62.11180124,,,,,,,,,,,,,36.5402,39.0385,,5,0,5,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2025-11-09_12h09.46.160,interdms_position_identity_trials,2025.1.1,MacIntel,62.11180124,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,1,images/Variation06_20110131/clio_rx+38.470_ry+69.221_rz-76.168_tx+00.591_ty-00.477_s+01.260_d6288d2ff384590e70fd5aa1d6768ce47a163a62_256x256.png,images/gray_background.png,images/gray_background.png,images/Variation06_20110131/motoryacht_rx+50.827_ry+62.377_rz+69.048_tx+00.224_ty+00.580_s+01.508_7a02c166ec927929995becc3d93b0f7f7195cd9a_256x256.png,images/Variation06_20110131/bmw325_rx+35.950_ry+00.026_rz-23.155_tx+00.599_ty-00.743_s+01.099_275315df97c51740c26c0262ec467dab4a6c1724_256x256.png,images/Variation06_20110131/motoryacht_rx+50.827_ry+62.377_rz+69.048_tx+00.224_ty+00.580_s+01.508_7a02c166ec927929995becc3d93b0f7f7195cd9a_256x256.png,b,b,b,x,x,,,,,,,,,,,,
,,,,,,,2025-11-09_12h09.46.160,interdms_position_identity_trials,2025.1.1,MacIntel,62.11180124,,,39.0399,39.0402,,,,39.0402,39.8716,return,0.8231,,39.8725,42.3721,x,0,0,0,0,1,,,,,,,,,,,,,,,,,,1.7887,,,,,,,,,,,
