,_id,bg_id,category,filename,id,obj,rxy,rxy_semantic,rxz,rxz_semantic,ryz,ryz_semantic,s,size,ty,tz,var,category_id,obj_id,cat_1b,id_1b,pos_1b,file_exists
0,3349857dbefd9f4194c68810f7b588194d093ce9_V3,3349857dbefd9f4194c68810f7b588194d093ce9,Animals,/home/mark/projects/code/RNN_NatAbs/data/original/HvM_with_discfade/Variation03_20110128/GORILLA_rx-16.470_ry-31.203_rz+22.955_tx-00.120_ty+00.252_s+00.896_3349857dbefd9f4194c68810f7b588194d093ce9_256x256.png,5377186a8784e5d872885c6f86f803d255f7c3fd,GORILLA,-0.3467409309719953,58.797000000000004,-0.18304519428540544,-16.469999999999995,0.13505774185423558,22.955,0.015384615384614886,256.0,-0.12,0.252,3,0,1,1,2,5,True
1,b7614205c80f163e49cccbce163593d13f3a6255_V6,b7614205c80f163e49cccbce163593d13f3a6255,Animals,/home/mark/projects/code/RNN_NatAbs/data/original/HvM_with_discfade/Variation06_20110131/GORILLA_rx-53.536_ry-74.023_rz+15.374_tx+00.477_ty-00.101_s+01.181_b7614205c80f163e49cccbce163593d13f3a6255_256x256.png,35245db1760e807e9c28a4da77161c8f5221da3a,GORILLA,-0.8227884690213345,15.976999999999991,-0.5951414753460523,-53.53599999999999,0.08994598270374388,15.374000000000002,0.7461538461538457,256.0,0.477,-0.101,6,0,1,1,2,4,True
2,a11e6927fc1aac01675d9bd2014cf791de353007_V6,a11e6927fc1aac01675d9bd2014cf791de353007,Animals,/home/mark/projects/code/RNN_NatAbs/data/original/HvM_with_discfade/Variation06_20110131/GORILLA_rx-00.719_ry-88.302_rz-45.316_tx-00.270_ty-00.943_s+00.822_a11e6927fc1aac01675d9bd2014cf791de353007_256x256.png,9814111bc0045e58aa92be80a8411513956a2afa,GORILLA,-0.9815339803666524,1.6979999999999886,-0.007927066540672989,-0.719,-0.2711980171436834,-45.315999999999995,-0.17435897435897496,256.0,-0.27,-0.943,6,0,1,1,2,9,True
3,eb49011e071c087f14c191c4e29a8c00b2d191df_V6,eb49011e071c087f14c191c4e29a8c00b2d191df,Animals,/home/mark/projects/code/RNN_NatAbs/data/original/HvM_with_discfade/Variation06_20110131/GORILLA_rx+79.815_ry-02.147_rz+60.129_tx+00.591_ty+00.969_s+01.138_eb49011e071c087f14c191c4e29a8c00b2d191df_256x256.png,c3344b170ad339988c59f927796613956edaf5fe,GORILLA,-0.02371343761464839,87.853,0.8874423258657953,79.81500000000001,0.3562666238830421,60.129000000000005,0.6358974358974352,256.0,0.591,0.969,6,0,1,1,2,1,True
4,c460d2f97714ef9d00248a7717dc25e9372d8b47_V6,c460d2f97714ef9d00248a7717dc25e9372d8b47,Animals,/home/mark/projects/code/RNN_NatAbs/data/original/HvM_with_discfade/Variation06_20110131/GORILLA_rx+64.597_ry+70.016_rz+31.113_tx+00.071_ty-00.985_s+01.171_c460d2f97714ef9d00248a7717dc25e9372d8b47_256x256.png,69d0b9ca1da056b21071552827e788acc3f156b7,GORILLA,0.7785522907425317,160.01600000000002,0.7182500416921338,64.597,0.18360301703557202,31.113000000000003,0.7205128205128197,256.0,0.071,-0.985,6,0,1,1,2,8,True
5,949d675cdbacbba8b5613a81c4e49e0d3b558664_V3,949d675cdbacbba8b5613a81c4e49e0d3b558664,Animals,/home/mark/projects/code/RNN_NatAbs/data/original/HvM_with_discfade/Variation03_20110128/GORILLA_rx-40.085_ry-40.479_rz+08.749_tx+00.290_ty-00.580_s+01.013_949d675cdbacbba8b5613a81c4e49e0d3b558664_256x256.png,9134a4d684293fdd4db7a500e77935e23326c1e1,GORILLA,-0.4498660351977233,49.520999999999994,-0.44559452999055793,-40.085,0.05052303000990288,8.749,0.3153846153846147,256.0,0.29,-0.58,3,0,1,1,2,7,True
6,477674f59a30d02366d0838fbaedbefbfcc44264_V6,477674f59a30d02366d0838fbaedbefbfcc44264,Animals,/home/mark/projects/code/RNN_NatAbs/data/original/HvM_with_discfade/Variation06_20110131/GORILLA_rx-52.420_ry-71.423_rz+02.138_tx-00.488_ty+01.131_s+00.955_477674f59a30d02366d0838fbaedbefbfcc44264_256x256.png,c077dbfe18898a27b3f3049082083c25d187573c,GORILLA,-0.7938832004802723,18.576999999999995,-0.5827338929345789,-52.42,0.011183386197226364,2.1379999999999995,0.16666666666666607,256.0,-0.488,1.131,6,0,1,1,2,3,True
7,d39eb3574486e44fa684767227eae25d06e6f1e9_V0,d39eb3574486e44fa684767227eae25d06e6f1e9,Animals,/home/mark/projects/code/RNN_NatAbs/data/original/HvM_with_discfade/Variation00_20110203/blCow_rx+00.000_ry+00.000_rz+00.000_tx+00.000_ty+00.000_s+00.800_d39eb3574486e44fa684767227eae25d06e6f1e9_256x256.png,66b99499afeffac919bc77613d3a1d797c1e51fc,blCow,0.0001556437536824884,90.0,6.670743231040888e-05,0.0,-0.001539070083442562,-0.0,-0.23076923076923106,256.0,0.0,0.0,0,0,5,1,6,5,True
8,461e80d4a5c38f19d7c2c2b0e2976b0308d68203_V6,461e80d4a5c38f19d7c2c2b0e2976b0308d68203,Animals,/home/mark/projects/code/RNN_NatAbs/data/original/HvM_with_discfade/Variation06_20110131/blCow_rx-87.223_ry+31.170_rz+03.214_tx+00.542_ty+01.060_s+00.508_461e80d4a5c38f19d7c2c2b0e2976b0308d68203_256x256.png,8abab004326d3ec5ed561c99ccb0436ad4d6c0f5,blCow,0.3466853439171085,121.16999999999999,-0.9696703541052926,-87.22299999999994,0.017586268778142955,3.2139999999999995,-0.9794871794871794,256.0,0.542,1.06,6,0,5,1,6,1,True
9,28d9efc21ad8704088f8bfb06995c6ac08d3286e_V6,28d9efc21ad8704088f8bfb06995c6ac08d3286e,Animals,/home/mark/projects/code/RNN_NatAbs/data/original/HvM_with_discfade/Variation06_20110131/blCow_rx+56.650_ry-31.014_rz-11.315_tx-00.377_ty+00.143_s+01.039_28d9efc21ad8704088f8bfb06995c6ac08d3286e_256x256.png,c42ec8925e2eb8b28c0ff5239d043e8429fb267f,blCow,-0.3446397402972796,58.98599999999999,0.6298960475846238,56.64999999999999,-0.06887049796733846,-11.315,0.38205128205128136,256.0,-0.377,0.143,6,0,5,1,6,6,True
