_id,bg_id,category,filename,id,obj,rxy,rxy_semantic,rxz,rxz_semantic,ryz,ryz_semantic,s,size,ty,tz,var,category_id,obj_id,file_exists,split
01c0425e982e4edc276fe5373dbf8e5e49bd9a16_V0,01c0425e982e4edc276fe5373dbf8e5e49bd9a16,Fruits,/Users/xiaoxuan/Downloads/original/HvM_with_discfade/Variation00_20110203/Apple_Fruit_obj_rx-90.000_ry+00.000_rz+00.000_tx+00.000_ty+00.000_s+00.700_01c0425e982e4edc276fe5373dbf8e5e49bd9a16_256x256.png,f1ae7c2160c6cbb309b940a0dc127a8aa1060e5d,Apple_Fruit_obj,0.0001556437536824,-0.0,6.670743231040888e-05,0.0,-0.0015390700834425,-0.0,-0.230769230769231,256.0,0.0,0.0,0,5,0,True,train
1ab7a705f57d772a0203141ad42742e874f42099_V0,1ab7a705f57d772a0203141ad42742e874f42099,Fruits,/Users/xiaoxuan/Downloads/original/HvM_with_discfade/Variation00_20110203/Apple_Fruit_obj_rx-90.000_ry+00.000_rz+00.000_tx+00.000_ty+00.000_s+00.700_1ab7a705f57d772a0203141ad42742e874f42099_256x256.png,691384450355c07ad084613a08a018ae8e1eebb2,Apple_Fruit_obj,0.0001556437536824,-0.0,6.670743231040888e-05,0.0,-0.0015390700834425,-0.0,-0.230769230769231,256.0,0.0,0.0,0,5,0,True,train
813820d67a6fe96bc9167070d85dd6258e9b0b47_V0,813820d67a6fe96bc9167070d85dd6258e9b0b47,Fruits,/Users/xiaoxuan/Downloads/original/HvM_with_discfade/Variation00_20110203/Apple_Fruit_obj_rx-90.000_ry+00.000_rz+00.000_tx+00.000_ty+00.000_s+00.700_813820d67a6fe96bc9167070d85dd6258e9b0b47_256x256.png,fe9cd029e43ebdeeb509b61db1573a8286d06e6a,Apple_Fruit_obj,0.0001556437536824,-0.0,6.670743231040888e-05,0.0,-0.0015390700834425,-0.0,-0.230769230769231,256.0,0.0,0.0,0,5,0,True,train
838fc10ae4d5aecb22595ca7e1aba67fd0fd9c32_V0,838fc10ae4d5aecb22595ca7e1aba67fd0fd9c32,Fruits,/Users/xiaoxuan/Downloads/original/HvM_with_discfade/Variation00_20110203/Apple_Fruit_obj_rx-90.000_ry+00.000_rz+00.000_tx+00.000_ty+00.000_s+00.700_838fc10ae4d5aecb22595ca7e1aba67fd0fd9c32_256x256.png,c766632574f6d86f0a048f2e5817826c1888699b,Apple_Fruit_obj,0.0001556437536824,-0.0,6.670743231040888e-05,0.0,-0.0015390700834425,-0.0,-0.230769230769231,256.0,0.0,0.0,0,5,0,True,train
8c1ccb3fbdd6cfb27854f387225380a16774cddc_V0,8c1ccb3fbdd6cfb27854f387225380a16774cddc,Fruits,/Users/xiaoxuan/Downloads/original/HvM_with_discfade/Variation00_20110203/Apple_Fruit_obj_rx-90.000_ry+00.000_rz+00.000_tx+00.000_ty+00.000_s+00.700_8c1ccb3fbdd6cfb27854f387225380a16774cddc_256x256.png,7edd311b0ef7a9e61c62c6cbc2b3cfc2b5b6ea9d,Apple_Fruit_obj,0.0001556437536824,-0.0,6.670743231040888e-05,0.0,-0.0015390700834425,-0.0,-0.230769230769231,256.0,0.0,0.0,0,5,0,True,train
951b335db74ae6fe585793c10bdb4f4f7e575213_V0,951b335db74ae6fe585793c10bdb4f4f7e575213,Fruits,/Users/xiaoxuan/Downloads/original/HvM_with_discfade/Variation00_20110203/Apple_Fruit_obj_rx-90.000_ry+00.000_rz+00.000_tx+00.000_ty+00.000_s+00.700_951b335db74ae6fe585793c10bdb4f4f7e575213_256x256.png,3a2e8aeaae50f81d1d4fc716969bd2c8e169b9d9,Apple_Fruit_obj,0.0001556437536824,-0.0,6.670743231040888e-05,0.0,-0.0015390700834425,-0.0,-0.230769230769231,256.0,0.0,0.0,0,5,0,True,train
c2b55fcbfb5e6769968c0bc4926aefdd8f6755cb_V0,c2b55fcbfb5e6769968c0bc4926aefdd8f6755cb,Fruits,/Users/xiaoxuan/Downloads/original/HvM_with_discfade/Variation00_20110203/Apple_Fruit_obj_rx-90.000_ry+00.000_rz+00.000_tx+00.000_ty+00.000_s+00.700_c2b55fcbfb5e6769968c0bc4926aefdd8f6755cb_256x256.png,5cde85cc63e677623c606ebf6d21a6b028b50baf,Apple_Fruit_obj,0.0001556437536824,-0.0,6.670743231040888e-05,0.0,-0.0015390700834425,-0.0,-0.230769230769231,256.0,0.0,0.0,0,5,0,True,train
e1d5280fbc674a151e0754384341289624ace974_V0,e1d5280fbc674a151e0754384341289624ace974,Fruits,/Users/xiaoxuan/Downloads/original/HvM_with_discfade/Variation00_20110203/Apple_Fruit_obj_rx-90.000_ry+00.000_rz+00.000_tx+00.000_ty+00.000_s+00.700_e1d5280fbc674a151e0754384341289624ace974_256x256.png,7cc53b502f4edb4c80316733868a33894016aa53,Apple_Fruit_obj,0.0001556437536824,-0.0,6.670743231040888e-05,0.0,-0.0015390700834425,-0.0,-0.230769230769231,256.0,0.0,0.0,0,5,0,True,train
ecd4021e3ae23c18874c31e02e3a9c7d9ed15203_V0,ecd4021e3ae23c18874c31e02e3a9c7d9ed15203,Fruits,/Users/xiaoxuan/Downloads/original/HvM_with_discfade/Variation00_20110203/Apple_Fruit_obj_rx-90.000_ry+00.000_rz+00.000_tx+00.000_ty+00.000_s+00.700_ecd4021e3ae23c18874c31e02e3a9c7d9ed15203_256x256.png,c01fd13e140ad955d7ce56c365f6c0d850c0abbb,Apple_Fruit_obj,0.0001556437536824,-0.0,6.670743231040888e-05,0.0,-0.0015390700834425,-0.0,-0.230769230769231,256.0,0.0,0.0,0,5,0,True,train
fa331deba6de048889c4f5abca7e18bf049d13d6_V0,fa331deba6de048889c4f5abca7e18bf049d13d6,Fruits,/Users/xiaoxuan/Downloads/original/HvM_with_discfade/Variation00_20110203/Apple_Fruit_obj_rx-90.000_ry+00.000_rz+00.000_tx+00.000_ty+00.000_s+00.700_fa331deba6de048889c4f5abca7e18bf049d13d6_256x256.png,202e13540b85d535b6fcabe430647ec11dcc67a5,Apple_Fruit_obj,0.0001556437536824,-0.0,6.670743231040888e-05,0.0,-0.0015390700834425,-0.0,-0.230769230769231,256.0,0.0,0.0,0,5,0,True,train
